id,name,sub_title,place,actor,date,open_time,start_time,close_time,time_original,max_price,min_price,price_text,link,inquiry,detail,num_of_people,input_table,input_table_rec_id
36,初音ミク「マジカルミライ 2020」in TOKYO<ライブ>初音ミク「マジカルミライ 2020」in TOKYO<企画展>,音楽イベント,国際展示場 展示ホール9〜11,"TOKYO MX/Crypton Future Media, INC.",2020-12-18,,,,（▼初音ミク「マジカルミライ 2020」in TOKYO<ライブ>12月18日(金) [3部]18:00/19:0012月19日(土)-20日(日)共 [1部]10:00/11:00 [2部]14:00/15:00 [3部]18:00/19:00▼初音ミク「マジカルミライ 2020」in TOKYO<企画展>12月18(金)-19日(土)共 9:30～19:0012月20(日) 9:30～18:30※各日最終入場時間は終了時間の30分前までとなります。）,0,0,,https://magicalmirai.com/2020/,https://www.m-messe.co.jp/event/detail/6438,創作で繋がる初音ミクたちのライブ&企画展!,,csv,36
37,初音ミク「マジカルミライ 2020」in TOKYO<ライブ>初音ミク「マジカルミライ 2020」in TOKYO<企画展>,音楽イベント,国際展示場 展示ホール9〜11,"TOKYO MX/Crypton Future Media, INC.",2020-12-19,,,,（▼初音ミク「マジカルミライ 2020」in TOKYO<ライブ>12月18日(金) [3部]18:00/19:0012月19日(土)-20日(日)共 [1部]10:00/11:00 [2部]14:00/15:00 [3部]18:00/19:00▼初音ミク「マジカルミライ 2020」in TOKYO<企画展>12月18(金)-19日(土)共 9:30～19:0012月20(日) 9:30～18:30※各日最終入場時間は終了時間の30分前までとなります。）,0,0,,https://magicalmirai.com/2020/,https://www.m-messe.co.jp/event/detail/6438,創作で繋がる初音ミクたちのライブ&企画展!,,csv,37
38,初音ミク「マジカルミライ 2020」in TOKYO<ライブ>初音ミク「マジカルミライ 2020」in TOKYO<企画展>,音楽イベント,国際展示場 展示ホール9〜11,"TOKYO MX/Crypton Future Media, INC.",2020-12-20,,,,（▼初音ミク「マジカルミライ 2020」in TOKYO<ライブ>12月18日(金) [3部]18:00/19:0012月19日(土)-20日(日)共 [1部]10:00/11:00 [2部]14:00/15:00 [3部]18:00/19:00▼初音ミク「マジカルミライ 2020」in TOKYO<企画展>12月18(金)-19日(土)共 9:30～19:0012月20(日) 9:30～18:30※各日最終入場時間は終了時間の30分前までとなります。）,0,0,,https://magicalmirai.com/2020/,https://www.m-messe.co.jp/event/detail/6438,創作で繋がる初音ミクたちのライブ&企画展!,,csv,38
39,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,"国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール",株式会社幕張メッセ/J-WAVE,2020-12-27,,,,（【開催中止】）,0,0,,http://countdownjapan.jp/,https://www.m-messe.co.jp/event/detail/6401,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,39
40,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,"国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール",株式会社幕張メッセ/J-WAVE,2020-12-28,,,,（【開催中止】）,0,0,,http://countdownjapan.jp/,https://www.m-messe.co.jp/event/detail/6401,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,40
41,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,"国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール",株式会社幕張メッセ/J-WAVE,2020-12-29,,,,（【開催中止】）,0,0,,http://countdownjapan.jp/,https://www.m-messe.co.jp/event/detail/6401,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,41
42,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,"国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール",株式会社幕張メッセ/J-WAVE,2020-12-30,,,,（【開催中止】）,0,0,,http://countdownjapan.jp/,https://www.m-messe.co.jp/event/detail/6401,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,42
43,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,"国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール",株式会社幕張メッセ/J-WAVE,2020-12-31,,,,（【開催中止】）,0,0,,http://countdownjapan.jp/,https://www.m-messe.co.jp/event/detail/6401,開催は中止になりました。詳細はイベントHPをご確認ください。,,csv,43
44,住まいのリフォーム博,展示会・見本市,国際会議場 国際会議室,住友不動産株式会社,2021-01-09,10:00,10:00,17:00,10:00～17:00,0,0,,https://www.sokkuri3.com/lp/202101m-messe_event/,https://www.m-messe.co.jp/event/detail/6518,実物大構造模型の展示で地震対策や断熱対策などわかりやすくご説明致します。ここでしか聞けないリフォームセミナー&上映会を開催、快適住宅設備の展示でリフォームのお悩みを解決致します。,,csv,44
45,住まいのリフォーム博,展示会・見本市,国際会議場 国際会議室,住友不動産株式会社,2021-01-10,10:00,10:00,17:00,10:00～17:00,0,0,,https://www.sokkuri3.com/lp/202101m-messe_event/,https://www.m-messe.co.jp/event/detail/6518,実物大構造模型の展示で地震対策や断熱対策などわかりやすくご説明致します。ここでしか聞けないリフォームセミナー&上映会を開催、快適住宅設備の展示でリフォームのお悩みを解決致します。,,csv,45
46,住まいのリフォーム博,展示会・見本市,国際会議場 国際会議室,住友不動産株式会社,2021-01-11,10:00,10:00,17:00,10:00～17:00,0,0,,https://www.sokkuri3.com/lp/202101m-messe_event/,https://www.m-messe.co.jp/event/detail/6518,実物大構造模型の展示で地震対策や断熱対策などわかりやすくご説明致します。ここでしか聞けないリフォームセミナー&上映会を開催、快適住宅設備の展示でリフォームのお悩みを解決致します。,,csv,46
